canonical_smiles,molregno,synonyms,assay_id,standard_value,standard_type,standard_units
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,405366,Glimepiride,1804558,-4.62,Inhibition,%
Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)OC(=S)N2,405455,Tanaproget,1804558,96.23,Inhibition,%
CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@H]21.Cl,705563,Quinpirole HCl,1804558,12.42,Inhibition,%
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12.Cl,553177,,1804558,87.57,Inhibition,%
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,406189,Selexipag,1804558,-2.21,Inhibition,%
CC(C[N+](C)(C)C)OC(N)=O.[Cl-],594843,Bethanechol Chloride,1804558,35.01,Inhibition,%
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,406787,Albendazole,1804558,23.24,Inhibition,%
NCCS(=O)(=O)O,407393,,1804558,1.2,Inhibition,%
O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2cc(F)ccc2[nH]1,407960,,1804558,30.71,Inhibition,%
c1ccc(-c2oc3ncnc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,407979,,1804558,0.03,Inhibition,%
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,408156,,1804558,0.32,Inhibition,%
CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,408410,Fenobam,1804558,6.6,Inhibition,%
C[C@H](c1ccc(F)cc1CCCC(=O)O)N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1,408538,,1804558,-5.23,Inhibition,%
COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O,408548,,1804558,-7.02,Inhibition,%
[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,408728,,1804558,-7.54,Inhibition,%
Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,408740,,1804558,-19.8,Inhibition,%
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1.[K+],109797,Losartan potassium,1804558,26.41,Inhibition,%
O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br,410017,,1804558,27.92,Inhibition,%
COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,410123,Preladenant,1804558,3.62,Inhibition,%
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,564291,Sildenafil Citrate,1804558,-9.14,Inhibition,%
O=[N+]([O-])c1cccc2cn[nH]c12,411442,,1804558,4.84,Inhibition,%
O=S(=O)(c1ccccc1F)N1CCOc2c(N3CCNCC3)cccc21,412563,,1804558,4.72,Inhibition,%
CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(OCC(=O)O)c1,412732,,1804558,-0.46,Inhibition,%
O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1,413178,,1804558,55.5,Inhibition,%
CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,413334,,1804558,-0.85,Inhibition,%
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](CN2CCCC2)C1,413409,,1804558,41.15,Inhibition,%
Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,413905,,1804558,-12.94,Inhibition,%
N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,414417,,1804558,99.36,Inhibition,%
COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1,416235,,1804558,0.98,Inhibition,%
CCCC[C@H]1OC(=O)c2ccccc21,416826,,1804558,7.77,Inhibition,%
Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,416907,,1804558,-7.07,Inhibition,%
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@@]312,417226,,1804558,5.47,Inhibition,%
O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,418097,,1804558,5.66,Inhibition,%
O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,418344,Uracil mustard,1804558,-3.96,Inhibition,%
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,418401,Azacitidine,1804558,-5.86,Inhibition,%
Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,150389,Trihexyphenidyl HCl,1804558,-3.19,Inhibition,%
CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,832478,Alverine Citrate,1804558,-6.12,Inhibition,%
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,674353,Amlodipine Besylate,1804558,6.31,Inhibition,%
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1.Cl,836189,,1804558,20.03,Inhibition,%
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1.Cl,743023,Bromhexine HCl,1804558,-38.2,Inhibition,%
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,418421,,1804558,1.14,Inhibition,%
Cl.O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,801292,,1804558,0.61,Inhibition,%
CS(=O)(=O)O.OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,951895,,1804558,-9.84,Inhibition,%
CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,447448,Diphenylpyraline HCl,1804558,13.81,Inhibition,%
Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O.Cl,674826,Flavoxate HCl,1804558,-0.28,Inhibition,%
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N.O=C(O)/C=C\C(=O)O,705744,Flupirtine Maleate,1804558,36.23,Inhibition,%
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,418491,Suloctidil,1804558,-13.23,Inhibition,%
O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1,418544,,1804558,0.59,Inhibition,%
O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,418570,,1804558,-6.85,Inhibition,%
O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@@H]3C(=O)O)cc2)cc1,418577,,1804558,-2.3,Inhibition,%
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,418736,Idebenone,1804558,-2.88,Inhibition,%
N[C@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,418792,,1804558,8.33,Inhibition,%
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],1123018,Rosuvastatin Calcium,1804558,1.8,Inhibition,%
CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,418966,,1804558,14.22,Inhibition,%
CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,419032,Luminespib,1804558,104.46,Inhibition,%
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,419380,,1804558,10.43,Inhibition,%
CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,419410,Betamethasone valerate,1804558,15.28,Inhibition,%
Cc1cc(O)cc(C)c1Cl,419430,Chloroxylenol,1804558,1.59,Inhibition,%
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,419443,Cortodoxone,1804558,-0.18,Inhibition,%
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,419448,,1804558,35.45,Inhibition,%
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,419542,Fluocinonide,1804558,-9.12,Inhibition,%
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],419596,Nifedipine,1804558,-1.74,Inhibition,%
COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[n-]2)c1OC.[Na+],674359,,1804558,2.84,Inhibition,%
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,419616,,1804558,3.49,Inhibition,%
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,419617,,1804558,-0.39,Inhibition,%
c1cc2c(cc1[C@H]1OC[C@@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@H]13)OCO2,420135,,1804558,-9.66,Inhibition,%
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,420751,,1804558,15.92,Inhibition,%
COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,420803,,1804558,-1.09,Inhibition,%
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O,674472,Almotriptan Malate,1804558,-11.55,Inhibition,%
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,421007,Escitalopram,1804558,30.45,Inhibition,%
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.O=C(O)C(=O)O,674273,Escitalopram Oxalate,1804558,4.41,Inhibition,%
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,90635,Chloroquine Diphosphate,1804558,5.84,Inhibition,%
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,90635,Chloroquine Phosphate,1804558,5.84,Inhibition,%
N.S=C(S)N1CCCC1,873535,,1804558,-4.76,Inhibition,%
C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,421032,Drospirenone,1804558,-1.37,Inhibition,%
Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,674954,Eletriptan Hydrobromide,1804558,0.96,Inhibition,%
CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,421038,Estradiol Valerate,1804558,-4.01,Inhibition,%
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl,421048,,1804558,51.18,Inhibition,%
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,421066,Irbesartan,1804558,-3.98,Inhibition,%
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12,421068,,1804558,18.26,Inhibition,%
Cn1cc[nH]c1=S,421089,Methimazole,1804558,-12.59,Inhibition,%
COc1ccc(OC)c([C@@H](O)CNC(=O)CN)c1,421103,,1804558,-36.4,Inhibition,%
CC(C)(C)NC[C@@H](O)COc1cccc2c1C[C@H](O)[C@H](O)C2,421105,,1804558,1.35,Inhibition,%
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc([N+](=O)[O-])c1,421122,,1804558,-2.34,Inhibition,%
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,421145,Olmesartan,1804558,3.16,Inhibition,%
CCCc1cc(=O)[nH]c(=S)[nH]1,421208,Propylthiouracil,1804558,-2.42,Inhibition,%
C[C@@H](C(=O)O)c1ccc(C(=O)c2cccs2)cc1,421301,,1804558,4.11,Inhibition,%
CCCc1nc(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12.Cl,283529,Vardenafil HCl,1804558,4.3,Inhibition,%
CCOc1ccccc1OC[C@H]1CNCCO1,421327,,1804558,-0.73,Inhibition,%
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,421332,Zaleplon,1804558,-6.43,Inhibition,%
CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,421334,Eszopiclone,1804558,-3.33,Inhibition,%
NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl,421336,,1804558,7.13,Inhibition,%
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,421346,,1804558,-1.75,Inhibition,%
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1.Cl,1228462,Dexfenfluramine HCl,1804558,3.16,Inhibition,%
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1CN,421365,,1804558,0.04,Inhibition,%
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,421520,Enoximone,1804558,6.41,Inhibition,%
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,422175,,1804558,1.13,Inhibition,%
COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@@](C)(O)C2,422219,,1804558,5.65,Inhibition,%
Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,422253,Raltegravir,1804558,-7.77,Inhibition,%
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,423034,,1804558,21.63,Inhibition,%
COc1cc(C[C@H](C)[C@H](C)Cc2ccc3c(c2)OCO3)ccc1O,423505,,1804558,-1.16,Inhibition,%
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,424150,,1804558,9.75,Inhibition,%
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,424433,,1804558,4.17,Inhibition,%
COc1ccc(Nc2ncnc3ccc(OC)cc23)cc1,424784,,1804558,52.82,Inhibition,%
Cc1c(C(=O)NC2CCCCC2)sc2nc3ccc(N)cc3n12.Cl,860270,,1804558,-6.43,Inhibition,%
O=C(Nc1ccc(C(F)(F)F)cn1)N1CCN(c2ncccc2C(F)(F)F)CC1,424787,,1804558,0.61,Inhibition,%
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,424824,Lumiracoxib,1804558,6.31,Inhibition,%
CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O)C[C@]12C,425068,,1804558,0.33,Inhibition,%
NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,425081,,1804558,103.51,Inhibition,%
C[C@@H]1CC(=O)c2c(ccc3c2C(=O)c2cccc(O)c2C3=O)C1,425290,,1804558,24.73,Inhibition,%
CC(=O)O.CNC(=N)NCCC[C@H](N)C(=O)O,705159,Tilarginine Acetate,1804558,-16.47,Inhibition,%
Cc1ccc(/C=N/NC(=O)c2ccccc2Oc2ccccc2)o1,425403,,1804558,3.77,Inhibition,%
CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1,425412,,1804558,-0.03,Inhibition,%
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,426110,Ataluren,1804558,33.95,Inhibition,%
O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O,426152,,1804558,55.13,Inhibition,%
O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,426153,,1804558,23.92,Inhibition,%
O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,426173,,1804558,51.3,Inhibition,%
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1,426232,,1804558,3.41,Inhibition,%
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,426660,Nilotinib,1804558,-1.43,Inhibition,%
C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1,426765,,1804558,-7.09,Inhibition,%
COc1cc(OC)c(NC(=O)Nc2cc(C)on2)cc1Cl,427125,,1804558,7.32,Inhibition,%
CCN(CC)C(=O)C1(c2ccccc2)CC1CN.Cl,2335035,Milnacipran HCl,1804558,3.31,Inhibition,%
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,428508,,1804558,1.14,Inhibition,%
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,428699,,1804558,3.94,Inhibition,%
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,428701,,1804558,-5.0,Inhibition,%
c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,428708,,1804558,34.6,Inhibition,%
CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,428796,,1804558,14.62,Inhibition,%
c1cc2c3c(c1)c1c(n3CCNC2)CCCC1,428814,,1804558,-0.77,Inhibition,%
C[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,428868,,1804558,-8.38,Inhibition,%
N[C@@H](Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,429043,,1804558,5.78,Inhibition,%
C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C,429074,,1804558,2.33,Inhibition,%
NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,429079,,1804558,86.72,Inhibition,%
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,429088,,1804558,-0.18,Inhibition,%
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,429174,Desogestrel,1804558,-8.93,Inhibition,%
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,429204,Riboflavin,1804558,2.82,Inhibition,%
c1ccc(-c2nn3c(c2-c2ccnc4cc(OCCN5CCOCC5)ccc24)CCC3)nc1,429222,,1804558,46.08,Inhibition,%
Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1,429350,,1804558,1.73,Inhibition,%
CN1CCN(c2nc3ccccc3nc2Cl)CC1,429365,,1804558,0.66,Inhibition,%
COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1,429475,,1804558,2.23,Inhibition,%
Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-],429507,Evofosfamide,1804558,5.77,Inhibition,%
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,429662,,1804558,-5.66,Inhibition,%
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,529987,Hydroxychloroquine Sulfate,1804558,3.2,Inhibition,%
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,429968,,1804558,43.97,Inhibition,%
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)nc2n(CC)c1=O,430009,,1804558,21.27,Inhibition,%
COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1.Cl,705801,,1804558,70.31,Inhibition,%
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C,430124,Ergocalciferol,1804558,1.72,Inhibition,%
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1,430184,,1804558,9.18,Inhibition,%
Nc1n[nH]c2nc3ccccc3nc12,430186,,1804558,-8.23,Inhibition,%
COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,430212,,1804558,1.28,Inhibition,%
COc1ccc(-c2oc3cc(OC)ccc3c2C(=O)c2ccc(C#N)cc2)cc1,430251,,1804558,-10.72,Inhibition,%
CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,430311,,1804558,4.8,Inhibition,%
[Zn+2].c1ccc2c(c1)-c1nc-2nc2[n-]c(nc3nc(nc4[n-]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,1547623,,1804558,0.26,Inhibition,%
Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,430386,,1804558,16.17,Inhibition,%
COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,430410,,1804558,4.98,Inhibition,%
CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,430411,,1804558,55.41,Inhibition,%
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,430431,,1804558,92.98,Inhibition,%
CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,430493,,1804558,54.28,Inhibition,%
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],674992,,1804558,8.57,Inhibition,%
CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,430522,,1804558,1.79,Inhibition,%
COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,430532,,1804558,82.35,Inhibition,%
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,430546,Sulfadoxine,1804558,-4.72,Inhibition,%
c1ccc(-c2n[nH]c3c2oc2ccccc23)cc1,430576,,1804558,-5.18,Inhibition,%
Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,430594,,1804558,58.81,Inhibition,%
Nc1nc(O)c2ncn(CCC(CO)CO)c2n1,430597,Penciclovir,1804558,1.54,Inhibition,%
NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,430613,,1804558,11.93,Inhibition,%
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,430642,Cefixime,1804558,-2.21,Inhibition,%
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,430646,,1804558,94.06,Inhibition,%
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,430664,,1804558,42.08,Inhibition,%
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,431002,,1804558,9.11,Inhibition,%
CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O,431125,Danoprevir,1804558,3.46,Inhibition,%
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,431141,Azathioprine,1804558,53.96,Inhibition,%
C[C@H](NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1,431246,,1804558,-0.08,Inhibition,%
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,431376,Ulipristal acetate,1804558,-1.44,Inhibition,%
COc1ccc2c(c1)c(C1=C(c3c[nH]c4ccccc34)C(=O)NC1=O)cn2CCCN(C)C,431514,,1804558,-5.03,Inhibition,%
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,431765,,1804558,1.12,Inhibition,%
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,432232,Glutathione,1804558,6.05,Inhibition,%
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+],675070,,1804558,-3.81,Inhibition,%
CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,433297,Indiplon,1804558,2.58,Inhibition,%
CC(C)[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,433425,Cilengitide,1804558,3.03,Inhibition,%
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,433616,Isepamicin,1804558,20.73,Inhibition,%
Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1I,433637,Fiacitabine,1804558,3.41,Inhibition,%
C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,433672,,1804558,-11.36,Inhibition,%
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(Cc2ccc(Cl)cc2)C1,434258,,1804558,85.66,Inhibition,%
Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,434834,Mocetinostat,1804558,-7.08,Inhibition,%
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,435188,Belinostat,1804558,16.22,Inhibition,%
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,435293,Alvimopan,1804558,22.71,Inhibition,%
